label,sentence
-5,"['Ab', 'Dbadd9', 'Absus4', 'Bbm7', 'Dbadd9', 'Bbm7', 'Fm7', 'Gb', 'Ab', 'Dbadd9', 'Absus4', 'Db', 'Ab', 'Bbm7', 'Db', 'Bbm7', 'F7', 'Gb', 'Ab', 'Gb', 'Db', 'Gb', 'Db', 'Gb', 'Ab', 'Gb', 'Db', 'F7', 'Bbm', 'Gb', 'Ab', 'Db', 'Ab', 'F', 'Bbm', 'Gb', 'Ab', 'Db', 'Ab', 'F', 'Bbm', 'Gb', 'Gbm', 'Ab', 'Db', 'Ab', 'Dbadd9', 'Db', 'Db', 'Absus4', 'Bbm7', 'Gb', 'Db', 'Gb', 'Db', 'Gb', 'Ab', 'Db', 'Absus4', 'Db', 'Db']"
5,"['EM7', 'F#', 'G#m', 'EM7', 'F#', 'G#m', 'EM7', 'F#', 'G#m', 'EM7', 'F#', 'G#m', 'C#m', 'D#m', 'G#m', 'F#sus4', 'EM7', 'F#', 'D#/G', 'G#m', 'F#sus4', 'EM7', 'F#', 'D#/G', 'Eadd9', 'F#', 'G#m7', 'G#m/B', 'C#m7', 'Badd9', 'A#', 'D#', 'D#', 'EM7', 'F#', 'D#m7', 'G#m', 'B', 'EM7', 'F#/E', 'D#m7', 'D#/G', 'G#m', 'C#m7', 'D#7', 'G#m', 'F#', 'Fm7-5', 'EM7', 'F#sus4', 'G#sus4', 'G#', 'C#m', 'D#m7', 'G#m', 'EM7', 'F#', 'G#m', 'EM7', 'F#', 'G#m']"
-5,"['Db/F', 'Gb', 'Db/F', 'Gb', 'Db/F', 'Gb', 'Db/F', 'Gb', 'Db/F', 'Gb', 'Db/F', 'Gb', 'Db/F', 'Gb', 'Db', 'Db', 'Db/F', 'Gb', 'Db/F', 'Gb', 'Db/F', 'Gb', 'Db', 'Db', 'Gb', 'Db', 'Ebm7', 'Db', 'Gb', 'Db', 'Ebm7', 'Ab', 'Db', '(', 'Ab', 'Gb', 'Db', 'Cb', 'Gb', 'F', 'Eb', 'F', 'Eb', 'Db', ')', 'Gb', 'Db/F', 'Ebm7', 'F7/A', 'Bbm7', 'Bbm7/Ab', 'Gb', 'Db/F', 'Ebm7', 'Fm', 'Gb', 'Ab', 'Gb', 'Db/F', 'Ebm7', 'F7/A']"
-3,"['AbM7', 'G7', 'Cm7', 'Eb7', 'Cm7', 'Bm7', 'Bbm7', 'AbM7', 'G7', 'Cm7', 'Eb7', 'AbM7', 'G7', 'Cm7', 'Eb7', 'AbM7', 'Bb6', 'Eb', 'Eb/G', 'AbM7', 'Bb6', 'Eb', 'G7', 'AbM7', 'G7', 'Cm7', 'Eb7', 'AbM7', 'G7', 'Cm7', 'Eb7', 'AbM7', 'G7', 'Cm7', 'Eb7', 'AbM7', 'G7', 'Cm7', 'Eb7', 'AbM7', 'G7', 'Cm7', 'Eb7', 'AbM7', 'G7', 'Cm7', 'Eb7', 'AbM7', 'G7', 'Cm7', 'Eb7', 'AbM7', 'Bb6', 'Eb', 'Eb/G', 'AbM7', 'Bb6', 'Eb', 'G7', 'AbM7', 'G7']"
0,"['F#m7-5', 'F6', 'Em7', 'D#dim7', 'Dm7', 'G', 'C', 'Eb', 'Bb', 'B', 'C', 'Ab', 'G', 'C', 'C/E', 'F', 'F#dim', 'G7sus4', 'F/A', 'Bb', 'Bdim', 'C', 'C/E', 'F', 'F#dim', 'Ab', 'Bb', 'C', 'C', 'C/E', 'F', 'F#dim', 'G7sus4', 'F/A', 'Bb', 'Bdim', 'C', 'C/E', 'F', 'F#dim', 'Ab', 'Bb', 'C', 'Ab', 'C/G', 'F', 'C/G', 'Ab', 'C/G', 'F', 'F#', 'G', 'C', 'C/E', 'F', 'F#dim', 'G7sus4', 'F/A', 'Bb', 'Bdim', 'C']"
2,"['Bm7', 'F#m7', 'GM9', 'DM7', 'Bm7', 'F#m7', 'GM9', 'DM7', 'Bm7', 'F#m7', 'GM9', 'DM7', 'Bm7', 'F#m7', 'GM9', 'DM7', 'Bm7', 'F#m7', 'GM9', 'DM7', 'Bm7', 'F#m7', 'GM9', 'DM7', 'Bm7', 'F#m7', 'GM9', 'DM7', 'Bm7', 'F#m7', 'GM9', 'DM7', 'Bm7', 'F#m7', 'GM9', 'A', 'DM7', 'DM7', 'Em7', 'F#m7', 'Gm7', 'Am7', 'A7', 'A7', 'Gadd9', 'A', 'F#m7', 'Bm7', 'Gadd9', 'A', 'Bm7', 'Bm7/C#', 'Bm7/D', 'Gadd9', 'A', 'F#7', 'Bm7', 'Gadd9', 'A', 'Bm7', 'Bm7']"
-6,"['F#/A#', 'Bsus2', 'C#sus4', 'D#m', 'F#/A#', 'Bsus2', 'C#', 'F#', 'F#/A#', 'Bsus2', 'C#sus4', 'D#m', 'F#/A#', 'Bsus2', 'C#sus4', 'F#', 'B', 'C#', 'F#', 'C#/E#', 'D#m7', 'G#7', 'C#', 'F#/A#', 'Bsus2', 'C#', 'C##dim', 'D#m', 'G#m7', 'C#', 'F#', 'F#sus4', 'F#', 'F#/A#', 'Badd9', 'G#/B#', 'C#', 'A#', 'C##dim', 'D#m', 'G#m7', 'C#', 'F#', 'C#', 'D#m7', 'C#m', 'F#add9', 'Badd9', 'F#/A#', 'G#m7', 'C#', 'C##dim', 'D#m7', 'Daug ', 'F#/C#', 'B#m7-5', 'B', 'F#/A#', 'G#m7', 'C#7', 'BM7']"
0,"['Am', 'Am', 'C', 'C', 'G', 'G#dim', 'Am7', 'Am7', 'FM7', 'G6', 'Am', 'Am', 'FM7', 'G6', 'Am', 'Am', 'FM7', 'G6', 'Am', 'Am', 'F', 'F', 'E7', 'FM7', 'G', 'Am', 'Am', 'Am/G', 'FM7', 'E7', 'Am', 'Am', 'Am/Bb', 'FM7', 'G', 'Am', 'Am', 'FM7', 'G', 'C', 'C', 'Am', 'Am', 'C', 'C', 'G', 'G#dim', 'F', 'F', 'Am', 'Am', 'C', 'C', 'G', 'G#dim', 'Am7', 'Am7', 'FM7', 'G6', 'Am', 'Am']"
-2,"['Em7-5', 'EbM7', 'Am7', 'Abm7', 'G7', 'Gm7', 'Gm7', 'EbM7', 'Fsus4', 'F', 'Gm7', 'Gm7', 'EbM7', 'Fsus4', 'F', 'EbM7', 'Gm7', 'Gm7', 'Gm7', 'EbM7', 'Gm7', 'Gm7', 'Gm7', 'EbM7', 'Fsus4', 'Gm7', 'Gm7', 'Gm7', 'EbM7', 'Fsus4', 'Gm7', 'Gm7', 'Gm7', 'EbM7', 'Fsus4', 'EbM7', 'Bb/D', 'DbM7', 'Fsus4', 'Ebadd9', 'D7', 'Gm7', 'Gm7', 'Fm7', 'Bb7 ', 'EbM7', 'EbM7', 'Dsus4', 'D7', 'Gm7', 'Gm7', 'Fm7', 'Bb7 ', 'EbM7', 'EbM7', 'Dsus4', 'D', 'Gm7', 'F/A', 'Bb', 'C']"
2,"['D', 'A/C#', 'Bm7', 'F#m7', 'G', 'D', 'Em', 'A', 'D', 'A/C#', 'Bm7', 'F#m7', 'G', 'D', 'Em', 'A', 'D', 'A/C#', 'Bm7', 'F#m7', 'G', 'D', 'Em', 'A', 'D', 'G', 'A', 'F#m7', 'B7', 'Em', 'EmM7/D#', 'Em7/D', 'A13', 'A7', 'D', 'DM7', 'Bm7', 'D', 'G', 'F#7', 'Bm7', 'Em', 'Gm', 'A', 'D', 'DM7', 'Bm7', 'D', 'G', 'F#7', 'Bm7', 'Em', 'Gm', 'A', 'D', 'A/C#', 'Bm7', 'F#m7', 'G', 'D', 'Em']"
4,"['F#m7 ', 'B', 'Eadd9', 'Bsus4/D#', 'F#m7 ', 'E/G#', 'A', 'Bsus4', 'E', 'F#m7 ', 'B', 'Eadd9', 'Bsus4/D#', 'F#m7 ', 'E/G#', 'A', 'Bsus4', 'E', 'E', 'F#m7', 'G#m7', 'A', 'F#m7', 'G#m7', 'A', 'AM7 ', 'Bsus4', 'Bsus4', 'C#m7', 'AM7 ', 'Bsus4', 'E', 'C#m7', 'AM7 ', 'Bsus4', 'B', 'Esus4', 'E', 'Eadd9', 'E', 'C#m7', 'AM7 ', 'Bsus4', 'E', 'Aadd9', 'Bsus4', 'Bsus4', 'C#m7', 'Aadd9', 'Bsus4', 'E', 'C#m7', 'Aadd9', 'Bsus4', 'B', 'E', 'C#m7', 'Aadd9', 'Bsus4', 'E', 'Aadd9']"
-6,"['Gb', 'Abm7 /Gb', 'Gb', 'Abm7 /Gb', 'Gb', 'Ab', 'Fm7', 'Bbm7', 'Ebm', 'Cb', 'Abm', 'Abm7/Db', 'Dbsus4', 'Gb', 'Ab', 'Fm7', 'Bbm7', 'Ebm', 'Cb', 'Abm', 'Abm7/Db', 'Bbm', 'Bb7', 'Ebm', 'Cb', 'Ebm', 'Cb', 'Cb', 'Abm', 'Bbm', 'Ebm', 'B', 'Cb', 'Gb/Bb', 'Abm', 'Abm7/Db', 'Db7sus4', 'Db7', 'Gb', 'Abm7 /Gb', 'Gb', 'Abm7 /Gb', 'Abm7 /Db', 'Gb', 'Ab', 'Fm7', 'Bbm7', 'Ebm', 'Cb', 'Abm', 'Abm7/Db', 'Dbsus4', 'Gb', 'Ab', 'Fm7', 'Bbm7', 'Ebm', 'Cb', 'Abm', 'Abm7/Db', 'Bbm']"
4,"['E', 'F#m7', 'E/G#', 'G#7', 'C#m7', 'F#m7', 'B', 'Esus4', 'E', 'E', 'F#m7', 'E/G#', 'G#7', 'C#m7', 'F#m7', 'B', 'E', 'Esus4/B', 'E', 'F#m7', 'E/G#', 'G#7', 'C#m7', 'F#m7', 'B', 'Esus4', 'E', 'E', 'B/D#', 'C#m7', 'G#m7', 'F#m7', 'F#m7/B', 'E', 'AM7', 'G#7', 'C#m7', 'F#m7', 'E/G#', 'A', 'F#m7/B', 'C#m7', 'G#m7', 'F#m7', 'F#m7/B', 'E', 'AM7', 'G#7', 'C#m7', 'F#m7', 'F#m7/B', 'Esus4', 'E', 'E', 'B/D#', 'C#m7', 'F#7', 'B', 'E', 'D#m7', 'G#7']"
5,"['EM7', 'F#sus4', 'B/D#', 'G#m7', 'C#m7', 'F#', 'Em6', 'B', 'G#m7/C#', 'D#m7', 'EM9', 'EM7/F#', 'F#/G#', 'G#m7/C#', 'D#m7', 'EM9', 'EM7/F#', 'F#/G#', 'G#m7/C#', 'D#m7', 'EM7/F#', 'F#/G#', 'EM7', 'D#m7', 'C#m7', 'D#m7', 'G#m7', 'G#m7/C#', 'D#m7', 'EM7', 'EM7/F#', 'F#/G#', 'G#m7/C#', 'D#m7', 'EM9', 'EM7/F#', 'F#/G#', 'G#m7/C#', 'D#m7', 'EM7', 'EM7/F#', 'G#m11', 'Eadd9', 'D#m7', 'G#m7/C#', 'D#m7', 'G#m7', 'EM9', 'F#/E', 'D#m7', 'G#m7', 'C#m7', 'F#7', 'D#m7', 'G#m7', 'C#m7', 'B/D#', 'E', 'E/F#', 'F#', 'C#m7/F#']"
1,"['CM7', 'GM7', 'B7', 'Em9', 'C#7omit5/Eb', 'Am7/D', 'C#m7-5', 'Cm7', 'D', 'CM7', 'GM7', 'B7', 'Em9', 'C#7omit5/Eb', 'Am7/D', 'C#m7-5', 'Cm7', 'D', 'Am7', 'Bm7', 'Em9', 'Am7', 'B7 ', 'E7', 'Am7', 'D#dim7', 'Em7', 'D#m7', 'Dm7', 'G', 'Am7', 'D7 ', 'GM7', 'G6add9', 'CM7', 'D7', 'Em9', 'GM7', 'CM7', 'B7 ', 'Bm7/E', 'E7', 'Eb7', 'Dm9', 'C#m7-5', 'F#7 ', 'Cm9', 'D', 'CM7', 'D7', 'Em9', 'GM7', 'CM7', 'B7', 'Em7', 'D/F#', 'Em/G', 'G#dim7', 'Am7', 'C♯m7-5', 'F♯7 ']"
-2,"['Bb', 'F ', 'Ebadd9', 'Bb', 'F/A', 'Gm', 'Dm7', 'Ebadd9', 'Bb', 'F/A', 'Ebadd9', 'Bb', 'F/A', 'Gm', 'Dm7', 'Ebadd9', 'F', 'Bb', 'F/A', 'Ebadd9', 'Bb', 'F/A', 'Gm', 'Dm7', 'Ebadd9', 'F', 'Bb', 'F/Eb', 'Bb/D', 'Gm7', 'Csus4', 'C/E', 'Fsus4', 'F', 'Bb', 'Ebadd9', 'F', 'Gbdim', 'Gm', 'Fm7', 'Bb', 'EbM7', 'Em7-5', 'F6', 'Gbdim', 'Gm', 'Em7-5', 'Fsus4', 'F', 'Bb', 'Ebadd9', 'F', 'Gbdim', 'Gm', 'Fm7', 'Bb', 'EbM7', 'D7', 'Gm', 'Em7-5', 'EbM7']"
3,"['F#m7', 'D69', 'Aadd9', 'F#m7', 'D69', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'AM9', 'Aadd9', 'F#m7', 'D69', 'AM9', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'Aadd9', 'AM9', 'F#m7', 'D69', 'AM9', 'AM9']"
-2,"['Gm', 'Dm/F', 'EbM7', 'F', 'Bb', 'Gm', 'Dm7', 'Eb', 'F', 'Gm', 'Gm', 'G', 'Gm', 'F', 'EbM7', 'Cm', 'Dm', 'Eb', 'F', 'Gm', 'F', 'EbM7', 'Cm', 'Dm', 'Eb', 'D5', 'Gm', 'Gm', 'Dm/F', 'Eb', 'F', 'A#', 'F/A', 'Gm', 'Dm/F', 'Eb', 'F', 'Gm', 'Eb', 'F', 'Gm', 'Eb', 'F', 'Gm', 'F', 'Eb', 'F', 'Gm', 'Eb', 'F', 'Gm', 'Gm', 'Gm', 'Dm/F', 'Eb', 'F', 'Bb', 'G/B', 'Cm', 'D7', 'Gm']"
-2,"['Bb', 'Bb/D', 'Eb', 'F', 'Bb', 'Bb/D', 'Eb', 'F', 'Bb', 'Bb', 'Eb', 'F', 'Bb', 'Bb/D', 'Eb', 'F', 'Bb', 'Bb/D', 'Eb', 'F', 'Bb', 'Bb/D', 'Eb', 'F', 'F', 'Bb', 'Bb/D', 'Eb', 'F', 'Bb', 'Bb/D', 'F', 'Eb', 'Dm', 'Eb', 'F/C', 'Bb', 'F/A', 'Gm', 'F', 'Eb', 'Bb/D', 'Cm', 'F', 'Bb', 'F/A', 'Gm', 'F', 'Eb', 'Bb/D', 'Cm', 'F', 'Bb', 'Bb/D', 'Eb', 'F', 'Eb', 'Bb/D', 'F/C', 'Bb', 'Eb']"
3,"['A/C#', 'D6', 'A/E', 'Fdim7', 'C#m7/F#', 'D#m7-5', 'D6', 'C#m7', 'C#m7/F#', 'Gadd9', 'Esus4', 'E', 'A', 'G#dim', 'F#m', 'E', 'D', 'Dm', 'Em', 'F#', 'Bm', 'C#m', 'D', 'D', 'E', 'F#m7', 'Bm7', 'Bm7/E', 'A', 'F', 'G', 'A', 'G', 'F#m', 'F', 'D', 'E', 'A', 'G', 'F#m', 'F', 'Dm', 'G', 'A', 'Aaug/D#', 'DM7', 'C#7', 'F#m7', 'B7', 'D', 'Bm7/E', 'A', 'Aaug/D#', 'D', 'Em', 'F#', 'Bm', 'E', 'Fdim', 'F#m', 'G']"
-4,"['Db', 'Eb', 'Ab', 'Fm', 'Db', 'Eb', 'Ab', 'Ab', 'Ab', 'Cm', 'Fm', 'Bb7', 'Db', 'Eb', 'Ab', 'Cm', 'Fm', 'Bb7', 'Db', 'Eb', 'Ab', 'Ab', 'Db', 'Eb', 'Ab', 'Fm', 'Db', 'Eb', 'Ab', 'Db', 'Eb', 'Ab', 'Fm', 'Bbm', 'C7', 'Fm', 'Db', 'Eb', 'Ab', 'Fm', 'Db', 'Eb', 'Ab', 'Fm', 'Db', 'Eb', 'Ab', 'Fm', 'Db', 'Eb', 'Ab', 'Db', 'Dbsus4', 'Db', 'Ab', 'Cm', 'Fm', 'Bb7', 'Db', 'Eb', 'Ab']"
2,"['D', 'G', 'Asus4', 'Bm7', 'D/F#', 'G', 'Asus4', 'D', 'D', 'G', 'Asus4/B', 'C#', 'D', 'BbM7', 'C', 'D', 'G', 'A7sus4', 'Bm7', 'D/F#', 'G', 'Asus4', 'D', 'D', 'G', 'Asus4/B', 'C#', 'D', 'BbM7', 'C', 'D', 'G/D', 'D', 'A/C#', 'Bm', 'A', 'G', 'D/F#', 'G', 'A', 'D', 'G/D', 'D', 'A/C#', 'Bm7', 'A', 'GM7', 'D/F#', 'G', 'A', 'F#7/A#', 'Bm', 'A/C#', 'D', 'G', 'D/A', 'A', 'F#m7', 'GM7', 'A', 'A#dim7']"
3,"['A', 'Aaug/D#', 'DM7', 'G', 'G', 'G#', 'A', 'Aaug/D#', 'DM7', 'DM7', 'A', 'Aaug/D#', 'DM7', 'G', 'G', 'G#', 'A', 'Aaug/D#', 'DM7', 'DM7', 'D6', 'A', 'Aaug/D#', 'DM7', 'Bm7', 'Bm9/E', 'D/E', 'A', 'Aaug/D#', 'DM7', 'Bm7', 'Bm9/E', 'D/E', 'C#m7', 'Bm7', 'D', 'A', 'Bm7', 'C#m7', 'D', 'E', 'A', 'Aaug/D#', 'DM7', 'DM7', 'D#m7-5', 'C#m7', 'Bm7', 'Bm7/E', 'A', 'Aaug/D#', 'DM7', 'DM7', 'D#m7-5', 'C#m7', 'Bm7', 'C#m7', 'DM7', 'E', 'A', 'A']"
4,"['E', 'B/D#', 'C#m7', 'E/B', 'A', 'E/G#', 'F#m7', 'B', 'E', 'E', 'E/B', 'E', 'B/D#', 'C#m7', 'E/B', 'A', 'E/G#', 'F#m7', 'A/B', 'E', 'B/D#', 'C#m7', 'E/B', 'A', 'E/G#', 'F#m7', 'B7', 'E', 'A/E', 'E', 'E/G#', 'Aadd9', 'B', 'Cdim', 'C#m', ' /B', 'E/G#', 'Aadd9', 'B', 'C#m7', 'B/D#', 'E', 'F#m7/B', 'E', 'D#m7-5', 'G#7', 'C#m7', 'Bm7', 'E7', 'AM7', 'E/G#', 'F#m7', 'A/B', 'B', 'E', 'D#m7-5', 'G#7', 'C#m7', 'Bm7', 'E7', 'AM7']"
-5,"['C#', 'C#', 'C#', 'C#', 'F#M7', 'F#M7', 'F#M7', 'F#M7', 'C#', 'C#', 'C#', 'C#', 'F#M7', 'F#M7', 'F#M7', 'F#M7', 'G#', 'F#', 'C#', 'A#m7', 'G#', 'F#', 'C#', 'A#m7', 'G#', 'F#', 'C#/F', 'F#', 'G#', 'D#m', 'C#/F', 'F#', 'C#/G#', 'A#m7', 'C#/F', 'F#', 'A#m7', 'G#', 'C#/F', 'F#', 'D#m', 'C#/F', 'F#', 'F#', 'C#/F', 'F#', 'C#', 'A#m7', 'G#', 'F#', 'C#', 'A#m7', 'G#', 'F#', 'C#/F', 'F#', 'G#', 'D#m', 'C#/F', 'F#', 'C#/G#']"
3,"['A', 'Dm/A', 'A', 'D/A', 'E/A', 'A', 'Dm/A', 'A', 'D/A', 'E/A', 'D/E', 'A', 'C#m7', 'D', 'C#m', 'Bm', 'G', 'F#m', 'E', 'A', 'C#m7', 'D', 'E', 'A', 'Dm/A', 'A', 'D/A', 'E/A', 'A', 'Dm/A', 'A', 'D/A', 'E/A', 'A', 'C#m7', 'Bm7', 'G9', 'Bm7', 'E7sus4', 'A', 'C#m7', 'Bm7', 'E', 'E', 'D#', 'D', 'E7/D', 'C#m7', 'F#m7', 'Bm7', 'Dm7', 'E', 'A', 'C#m7', 'D', 'C#m', 'Bm', 'G', 'F#m', 'E', 'A']"
-5,"['Gb', 'Db', 'Ab', 'Bbm7', 'Gb', 'Db', 'Ab/F', 'Adim', 'Bbm7', 'Gb', 'Db', 'Ab/F', 'Adim', 'Bbm7', 'Gb', 'Db', 'Ab', 'Dbsus4/Gb', 'Dbsus4/Gb', 'Gb', 'Db', 'Ab', 'Bbm7', 'Gb', 'Db', 'Ab/F', 'Adim', 'Bbm7', 'Gb', 'Db', 'Ab/F', 'Adim', 'Bbm7', 'Gbadd9', 'Db', 'Ab', 'Db', 'Dbsus4/Ab', 'Db', 'Ebm7', 'Db/F', 'Gb', 'Ab', 'Ebm7', 'Db/F', 'Gb', 'Ab', 'Db', 'Ebm7', 'Db/F', 'Gb', 'Ab', 'Gb', 'Db', 'Ab', 'Gb', 'Gb', 'Bbm7', 'Ebm7', 'Gb', 'Ab']"
0,"['FM7', 'FM7', 'Em7', 'Am', 'FM7', 'G/F', 'Em7', 'Am', 'Am/G', 'F#m7-5', 'F#m7-5', 'G7sus4', 'G7', 'Dm7/G', ' ↓', 'G7sus4', 'C', 'Am', 'F', 'G', 'Em7', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'Em7', 'Am', 'F', 'G', 'C', 'F', 'Fm', 'C/E', 'Am', 'Am/G', 'D7/F#', 'G', 'Am', 'A#dim', ' ↓', 'G/B', 'C', 'G/B', 'Am', 'Em/G', 'F', 'C/E', 'D7/F#', 'G', 'C', 'G/B', 'Am', 'Em/G', 'F', 'C/E', 'Dm7', 'Dm7/G', 'C']"
-6,"['Bsus2', 'F#M7/A#', 'G#m7 ', 'F#', 'Bsus2', 'F#M7/A#', 'G#m7 ', 'F#', 'Bsus2', 'F#M7/A#', 'G#m7', 'F#', 'Bsus2', 'F#M7/A#', 'G#m7', 'F#', 'Bsus2', 'F#M7/A#', 'C#', 'D#m7', 'Bsus2', 'F#M7/A#', 'Bsus2/C#', 'F#', 'Bsus2', 'F#M7/A#', 'C#', 'D#m7', 'Bsus2', 'F#M7/A#', 'D#m7', 'C#', 'B', 'F#/A#', 'G#m', 'F#', 'B', 'F#/A#', 'G#m', 'F#', 'F#/G#', 'F#/A', 'F#/A#', 'B', 'F#/A#', 'G#m', 'F#', 'B', 'F#/A#', 'G#m', 'F#', 'B', 'F#M7/A#', 'G#m', 'F#', 'B', 'F#M7/A#', 'G#m', 'F#', 'F#/G#', 'F#/A']"
-3,"['Cm', 'Fm', 'Bb', 'Eb', 'Cm', 'Fm', 'Gm', 'Ab', 'Cm', 'Fm', 'Bb', 'Eb', 'Cm', 'Fm', 'Bb', 'Cm', 'Bb', 'Eb', 'Bb', 'Cm', 'Bb6', 'AbM7', 'Bbsus4', 'Bb', 'Ebsus4', 'Cm', 'Dm7-5 ', 'Dm7/G', 'G', 'Eb', 'Bb', 'Cm', 'Bb6', 'AbM7', 'Bbsus4', 'Bb', 'Ebsus4', 'Cm', 'Dm7-5 ', 'Dm7/G', 'G', 'Dm7/G', 'G', 'Ab', 'Gm', 'Cm', 'Fm', 'Bb', 'Bbm', 'Eb7', 'Ab', 'Gm', 'Cm', 'Dm7-5', 'Dm7/G', 'G', 'Dm7/G', 'G', 'Cm', 'Fm', 'Bb']"
1,"['G', 'G', 'A', 'B', 'B', 'F#', 'Em', 'Em', 'D', 'C', 'C', 'B', 'G', 'B', 'Em', 'C', 'G', 'B', 'Em', 'C', 'G', 'B7', 'Em7', 'C', 'Cm', 'G', 'B7', 'Em7', 'C', 'Cm', 'G', 'B7', 'Em7 ', 'C', 'Cm', 'G', 'B7', 'Em7', 'C', 'G', 'B7', 'Em7', 'C', 'Cm', 'G', 'B7', 'Em7', 'C', 'G', 'B7', 'Em7', 'C', 'Cm', 'G', 'B7', 'Em7', 'C', 'Cm', 'G', 'B7', 'Em7']"
-3,"['Eb', 'AbM9', 'Eb', 'AbM9', 'Cm7/Bb', 'Eb', 'Eb/D', 'Gm7', 'Ab', 'Ab/G', 'Fm', 'Bb', 'Bb/Ab', 'Gm7', 'AbM7', 'Bb7', 'Eb', 'Eb/D', 'Gm7', 'Ab', 'Ab/G', 'Fm', 'Bb', 'Bb/Ab', 'Gm7', 'AbM7', 'Bb7', 'Eb', 'Gm7', 'Cm7', 'Gm7', 'Bbm7', 'AbM7', 'Gm7', 'AbM7', 'Ab/Bb', 'Bb7', 'Ab/Bb', 'Bb', 'Eb', 'Eb/D', 'Gm7', 'Ab', 'AbM7/G', 'Fm7', 'Bb', 'Bb/Ab', 'Gm7', 'AbM7', 'Bb7', 'Eb', 'Eb/D', 'Gm7', 'Ab', 'Ab/G', 'Fm7', 'Bb', 'Bb/Ab', 'Gm7', 'AbM7', 'Bb7']"
-3,"['N.C', 'Cm7', 'F9', 'Bb7 ', 'Eb', 'Cm7', 'F9', 'Bb7 ', 'Eb', 'Cm7', 'F9', 'Bb7 ', 'Eb', 'Cm7', 'F9', 'Bb7 ', 'Eb', 'Fm9', 'Ab/Bb', 'EbM7', 'Gb9', 'Fm9', 'Ab/Bb', 'EbM7', 'EbM7', 'Gb9', 'Fm9', 'Ab/Bb', 'EbM7', 'Gb9', 'Fm9', 'Ab/Bb', 'EM7', 'EM7 ', 'Fm9', 'Bb7', 'EbM7', 'AbM7', 'Dm7-5', 'G7', 'Cm7', 'F9', 'Bb7 ', 'Eb', 'Cm7', 'F9', 'Bb7 ', 'Eb', 'Cm7', 'F9', 'Bb7 ', 'Eb', 'Fm9', 'Gm7', 'GM7/Ab', 'Bb7', 'Cm7', 'F9', 'Bb7 ', 'Eb', 'Cm7']"
-1,"['BbM7', 'A7 ', 'Am7', 'Dm7', 'Gm7', 'C9', 'F', 'Bb/F', 'F', 'Eb/F', 'Bb/F', 'F', 'Bb/F', 'F', 'Eb/F', 'Bb/F', 'Gm7', 'FM9', 'Gm7', 'FM9', 'Gm7', 'A7 ', 'Dm7', 'BbM7', 'F/A', 'Gm7', 'Gm7/C', 'Gm7', 'A7', 'Dm7', 'BbM7', 'F/A', 'Gm7', 'Gm7/C', 'BbM7', 'Am7', 'A7', 'Dm', 'Dbaug', 'Dm7/C', 'Bm7-5', 'Gm7', 'Gm7/C', 'BbM7', 'Am7', 'A7', 'Dm', 'Dbaug', 'Dm7/C', 'Bm7-5', 'Gm7', 'Gm7/C', 'F', 'Bb/F', 'F', 'Eb/F', 'Bb/F', 'F', 'Bb/F', 'F', 'Eb/F']"
-1,"['F', 'Em7-5', 'A7', 'Dm7', 'Bm7-5', 'Gm7', 'C7 ', 'F/Eb', 'Bb/D', 'Db6', 'F/C', 'Bm7-5', 'E7', 'Am7', 'D7 ', 'Gm7', 'C7 ', 'DbM9', 'FM9', 'DbM9', 'FM9', 'Cm6', 'Faug/B', 'BbM9', 'Bbm7/Eb', 'Dm9', 'G9', 'Bm7', 'E7', 'G#m7-5/F#', 'F#', 'Abaug/D', 'DbM7', 'BbmM7', 'Eb7', 'Ebaug/A', 'AbM7', 'Fm7', 'Bb6', 'Bbm7 ', 'Gm7-5', 'Gm7/C', 'C', 'Db', 'Eb', 'F', 'Em7', 'A7', 'Dm7', 'F7/C', 'Faug/B', 'BbM7', 'Am7', 'Ddim7', 'Gm7', 'C9sus4', 'Db', 'Eb', 'F', 'Em7', 'A7']"
-4,"['Bbm', 'Eb/G', 'Ab', 'Fm', 'Bbm', 'Eb/G', 'Ab', 'Ab7/Eb', 'Bbm', 'Eb/G', 'Ab', 'Fm', 'Bbm', 'Eb/G', 'Fm7', 'Eb', 'Fm7', 'Ab', 'Fm7', 'Eb', 'Fm7', 'Ab', 'Fm7', 'Eb', 'Fm7', 'Ab', 'Fm7', 'Eb', 'Fm7', 'Fm7', 'Bb7 /F', 'Bbm7', 'Ab6', 'Bbm7', 'Ab6', 'Fm7', 'Bb7 /F', 'Bbm7', 'Ab6', 'Bbm7', 'Ab6', 'Bbm7', 'Eb7', 'Abadd9', 'Fm7', 'Bbm7', 'Eb7', 'Abadd9', 'Ab7 /Gb', 'Bbm7', 'Eb7', 'Abadd9', 'Fm7', 'Bbm7', 'Eb7', 'Fm7', 'Eb', 'Fm7', 'Ab', 'Fm7', 'Eb']"
