label,sentence
-6,"['F#M7', 'G#m7/C#', 'Ebm7', 'BM7', 'G#m7', 'G#m7/C#', 'F#M7', 'B', 'C#', 'F#', 'F#', 'Fm7-5', 'A#/D', 'D#m', 'C#m7', 'F#7', 'B', 'C#', 'D', 'E', 'F#', 'F', 'E', 'Eb', 'D', 'C#', 'B', 'C#', 'F#', 'F#/A#', 'B', 'C#', 'F#', 'F#/A#', 'B', 'C#/F', 'F#', 'F#/A#', 'B', 'C#', 'F#', 'F#/A#', 'B', 'C#/F', 'F#', 'F#/A#', 'B', 'C#', 'F#', 'F#/A#', 'B', 'C#/F', 'F#', 'F#/A#', 'B', 'C#', 'B', 'C#', 'F#', 'F#', 'F#']"
5,"['E', 'Badd2/D#', 'C#m7', 'B/D#', 'E/F#', 'A7 ', 'B', 'F#7', 'D#m7', 'G#m7', 'E', 'F#7', 'B', 'B7', 'E', 'F#7', 'B', 'B/A', 'E', 'F#7', 'B', 'Em/B', 'C#/B', 'Em/B', 'B', 'A#m7-5', 'D#7', 'G#m7', 'F#m7', 'B7', 'E', 'Badd2/D#', 'C#m7', 'Badd2/D#', 'E', 'Badd2/D#', 'A', 'F#7sus4', 'F#7', 'B', 'A#m7-5', 'D#7', 'G#m7', 'F#m7', 'B7', 'E', 'Badd2/D#', 'C#m7', 'Badd2/D#', 'E', 'Badd2/D#', 'A', 'F#7sus4', 'F#7', 'G', 'A', 'F#m7', 'Bm7', 'C#m7', 'E/F#', 'A7 ']"
-4,"['Db', 'Eb', 'Cm', 'F', 'Db', 'Eb', 'C7/E', 'Fm', 'Db', 'Eb', 'Cm', 'F', 'Bbm7', 'Ebaug', 'Eb', 'Ab', 'Cm', 'Db', 'Dbm/E', 'Fm', 'Bb7', 'Db', 'Dbm/E', 'Gb', 'Ab', 'Cm', 'Db', 'Dbm/E', 'Fm', 'Bb7', 'Db', 'Bbm7/Eb', 'DbM7', 'Ab/C', 'Bbm7', 'Ab', 'DbM7', 'Ab/C', 'Bbm7', 'Ebaug', 'Ebaug', 'E', 'Gb', 'Bbm7', 'Ebaug', 'Eb', 'Cm', 'Fm', 'Dm7-5', 'G7', 'Cm', 'BM7', 'Bbm7', 'Bbm7/Eb', 'Bbm7', 'Ebaug', 'Eb', 'Cm', 'Fm', 'Bbm7', 'Cm']"
-6,"['G#m7', 'G#m7/C#', 'A#m7', 'D#m7', 'B', 'BmM7', 'A#m7', 'A', 'G#m7', 'A#m7', 'B', 'B/C#', 'Bm7', 'C#', 'F#M7', 'C#/F', 'E', 'D#', 'D', 'F#/C#', 'D', 'D/E', 'E', 'F#M7', 'Fm7-5', 'A#7', 'Ddim', 'D#m', 'D#m/C#', 'Cm7-5', 'C#sus4', 'C#/B', 'G#m7', 'G#m7/C#', 'B', 'A#m7', 'A6', 'G#m7', 'B/C#', 'C#dim', 'F#', 'C#m7', 'F#7', 'B', 'Bm', 'A#m7', 'A6', 'G#m7', 'G#m7/C#', 'B', 'A#m7', 'D#m', 'B', 'Bm', 'A#m7', 'A6', 'G#m7', 'G#m7/C#', 'F#', 'F#7', 'G#m7']"
2,"['D69', 'D69', 'A#aug', 'Bm7', 'C7', 'D69', 'A#aug', 'Bm7', 'C7', 'D69', 'A#aug', 'Bm7', 'Am7', 'D7', 'GM7', 'A#aug', 'Bm7', 'Am7', 'D7', 'GM7', 'F#m7', 'Bm7', 'Em7', 'G/A', 'DM7', 'F#7/C#', 'Bm7', 'Am7', 'D7', 'GM7', 'F#m7', 'Bm7', 'Em7', 'G/A', 'DM7', 'F#7/C#', 'Bm7', 'Am7', 'D7', 'GM7', 'F#m7', 'Bm7', 'GM7', 'F#m7', 'Bm7', 'GM7', 'F#m7', 'Bm7', 'Em7', 'A7', 'DM7', 'GM7', 'DM7', 'GM7', 'DM7', 'F#m7', 'Bm7', 'Em7', 'G/A', 'GM7', 'A#aug']"
-2,"['Gm7', 'Bbadd9/D', 'Eb', 'F', 'Bb', 'Gm7', 'Bbadd9/D', 'Eb', 'F', 'Bb', 'Gm7', 'Bbadd9/D', 'Eb', 'F', 'Bb', 'Gm7', 'Bb/D', 'Eb6', 'F6', 'Bbadd9', 'Gm7', 'Bb/D', 'Ebadd9', 'Bb', 'Gm7', 'Bb/D', 'Ebadd9', 'Fsus4', 'Gm7', 'Bb/D', 'Ebadd9', 'Bb', 'Gm7', 'Bb/D', 'Eb6', 'F6', 'Bb', 'Gm7', 'Bb/D', 'Ebadd9', 'F', 'Bb', 'Gm7', 'Bb/D', 'Ebadd9', 'F', 'Bb', 'Gm7', 'Bb/D', 'Ebadd9', 'F', 'Bb', 'Gm7', 'Bbadd9/D', 'Ebadd9', 'F', 'Bb', 'Bbadd9', 'Gm7', 'Bb/D', 'Ebadd9']"
2,"['G7', 'Gm7', 'D', 'B7', 'G7', 'Gm7', 'D', 'B7', 'G7', 'Gm7', 'C7 ', 'B7 ', 'Bb7 ', 'A7 ', 'F#7/A#', 'Bm', 'A/C#', 'D', 'E', 'G', 'F#m', 'Em7', 'Em7/A', 'F#7/A#', 'Bm', 'A/C#', 'D', 'E', 'G', 'F#', 'Em7', 'Em7/A', 'F#7/A#', 'Bm', 'A/C#', 'D', 'E', 'G', 'F#m', 'Em7', 'Em7/A', 'F#7/A#', 'Bm', 'A/C#', 'D', 'E', 'G', 'F#', 'Em7', 'F#7sus4', 'F#7', 'GM7', 'F#7 ', 'F#7', 'GM7', 'F#7 ', 'F#7', 'Em7', 'D/F#', 'A', 'Fm7/Bb']"
0,"['C', 'C', 'C', 'G', 'G7', 'Am', 'F', 'G', 'Em', 'Am', 'Dm7', 'G', 'C', 'G', 'Am', 'Em', 'F', 'Fm', 'Gsus4', 'G', 'C', 'G', 'Am', 'G', 'F', 'Fm', 'C', 'A7', 'Dm7', 'D7', 'G', 'C', 'G', 'G7', 'Am', 'Fm', 'Em', 'Am7', 'Dm7', 'G', 'C', 'G', 'G7', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'Gsus4', 'G', 'C', 'C', 'G', 'Am', 'G', 'F', 'G', 'Em', 'Am', 'Dm7']"
-1,"['F', 'Ebadd9', 'Dm', 'Dbaug', 'F', 'Ebadd9', 'Dm', 'Dbaug', 'F', 'Ebadd9', 'Dm', 'Dbaug', 'F', 'Ebadd9', 'Dm', 'Dbaug', 'F', 'Ebadd9', 'Dm', 'Dbaug', 'Am7', 'Dm7', 'Bb', 'C', 'F', 'Ebadd9', 'Dm', 'Dbaug', 'Am7', 'Dm7', 'Bb', 'C', 'F', 'Ebadd9', 'Dm', 'Dbaug', 'Am7', 'Dm7', 'Bb', 'C', 'F', 'Ebadd9', 'Dm', 'Dbaug', 'Am7', 'Dm7', 'Bb', 'C', 'B', 'Bb', 'Bbm', 'Am7', 'Dm7', 'Bb', 'Bbm', 'Am7', 'D7', 'Bb', 'Bbm', 'Am7', 'Dm7']"
-6,"['CbM7', 'Db/Cb', 'Bbm7', 'Adim7', 'Abm7', 'Abm7/Db', 'Gb', 'CbM7', 'CbM7', 'Bbm7', 'Adim7', 'Abm', 'Bbm', 'Cbm', 'Dbm7', 'Gb', 'Gb', 'Gb', 'Adim7', 'Abm7', 'E9sus4', 'Bbm7', 'Ebm7', 'Eadd ', 'Gb', 'Adim7', 'Abm7', 'E9sus4', 'Bbm7', 'Ebm7', 'Abm7', 'Gb/Bb', 'Cbm7', 'Db7sus4', 'Gb', 'Db', 'Gb', 'Gb', 'Db', 'CbM7', 'Db6', 'Bbm7', 'Adim7', 'Abm7', 'Bbm7', 'Cbm7', 'Db7sus4', 'CbM7', 'Db6', 'Bbm7', 'Bbm7/G', 'Eb7/G', 'Bbm7/G', 'Gdim7', 'Abm7', 'Bbm7', 'Bm', 'Dbsus4', 'Dm6', 'Eadd9', 'CbM7']"
